country,Column1,Column2,CAN_total,CAN_MTCO2e,,,,,,,,,,,,
AT,,Austria,58430068.52,0.06,,,,,,,,,,,,
AU,,Australia,258472425.8,0.26,,,,,,,,,,,,
BE,,Belgium,71977577.69,0.07,,,,,,,,,,,,
BG,,Bulgaria,19044756.39,0.02,,,,,,,,,,,,
BR,,Brazil,599709660.7,0.60,,,,,,,,,,,,
CA,,Canada,667494466.9,0.67,,,,,,,,,,,,
CA,AB,Canada,18160021152,18.16,,,,,,,,,,,,
CA,BC,Canada,7623197037,7.62,,,,,,,,,,,,
CA,MP,Canada,1378926727,1.38,,,,,,,,,,,,
CA,NB,Canada,816539350,0.82,,,,,,,,,,,,
CA,NL,Canada,802993568.9,0.80,,,,,,,,,,,,
CA,NS,Canada,977598633.5,0.98,,,,,,,,,,,,
CA,NT,Canada,91888174.69,0.09,,,,,,,,,,,,
CA,NU,Canada,54399.80918,0.00,,,,,,,,,,,,
CA,ON,Canada,14971301690,14.97,,,,,,,,,,,,
CA,PE,Canada,50853261.81,0.05,,,,,,,,,,,,
CA,QC,Canada,8554457559,8.55,,,,,,,,,,,,
CA,SK,Canada,3816550221,3.82,,,,,,,,,,,,
CA,YT,Canada,54724560.39,0.05,,,,,,,,,,,,
CH,,Switzerland,22514860.33,0.02,,,,,,,,,,,,
CN,,China,9784701435,9.78,,,,,,,,,,,,
CY,,Cyprus,4037406.829,0.00,,,,,,,,,,,,
CZ,,Czech Republic,105935790.2,0.11,,,,,,,,,,,,
DE,,Germany,451605511.2,0.45,,,,,,,,,,,,
DK,,Denmark,28150198.1,0.03,,,,,,,,,,,,
EE,,Estonia,6809786.803,0.01,,,,,,,,,,,,
ES,,Spain,164346950.3,0.16,,,,,,,,,,,,
FI,,Finland,34630177.58,0.03,,,,,,,,,,,,
FR,,France,199813486.3,0.20,,,,,,,,,,,,
GB,,United Kingdom of Great Britain and Northern Ireland,245595840.3,0.25,,,,,,,,,,,,
GR,,Greece,46369420.01,0.05,,,,,,,,,,,,
HR,,Croatia (Hrvatska),8393038.974,0.01,,,,,,,,,,,,
HU,,Hungary,20503236.28,0.02,,,,,,,,,,,,
ID,,Indonesia,319820975.6,0.32,,,,,,,,,,,,
IE,,Ireland,47640966.36,0.05,,,,,,,,,,,,
IN,,India,1021152537,1.02,,,,,,,,,,,,
IT,,Italy,217124405.3,0.22,,,,,,,,,,,,
JP,,Japan,542547682.2,0.54,,,,,,,,,,,,
KR,,Republic of Korea,389219603.7,0.39,,,,,,,,,,,,
LT,,Lithuania,3816155.122,0.00,,,,,,,,,,,,
LU,,Luxembourg,20772659.54,0.02,,,,,,,,,,,,
LV,,Latvia,4579912.976,0.00,,,,,,,,,,,,
MT,,Malta,803906.3699,0.00,,,,,,,,,,,,
MX,,Mexico,903965028.6,0.90,,,,,,,,,,,,
NL,,Netherlands,179982934.6,0.18,,,,,,,,,,,,
NO,,Norway,130469591.4,0.13,,,,,,,,,,,,
PL,,Poland,192884233.3,0.19,,,,,,,,,,,,
PT,,Portugal,64111768.31,0.06,,,,,,,,,,,,
RO,,Romania,45758686.79,0.05,,,,,,,,,,,,
RU,,Russian Federation,714124497.8,0.71,,,,,,,,,,,,
SE,,Sweden,43240005.9,0.04,,,,,,,,,,,,
SI,,Slovenia,6301824.825,0.01,,,,,,,,,,,,
SK,,Slovakia,13924544.95,0.01,,,,,,,,,,,,
TR,,Turkey,395817859.6,0.40,,,,,,,,,,,,
TW,,Taiwan,315864262.5,0.32,,,,,,,,,,,,
US,,United States of America,8613730688,8.61,,,,,,,,,,,,
WA,,#N/A,1993925573,1.99,,,,,,,,,,,,
WE,,#N/A,284510087.3,0.28,,,,,,,,,,,,
WF,,Wallis and Futuna,404746893.6,0.40,,,,,,,,,,,,
WL,,#N/A,991793847.3,0.99,,,,,,,,,,,,
WM,,#N/A,1349091066,1.35,,,,,,,,,,,,
ZA,,South Africa,305568612.6,0.31,,,,,,,,,,,,
